Year,Cause Name,State,Deaths
2017,Alzheimer's disease,Hawaii,465
2017,Alzheimer's disease,Idaho,672
2017,Alzheimer's disease,Illinois,4021
2017,Alzheimer's disease,Indiana,2771
2017,Alzheimer's disease,Iowa,1597
2017,Alzheimer's disease,Kansas,894
2017,Alzheimer's disease,Kentucky,1765
2017,Alzheimer's disease,Louisiana,2188
2017,Alzheimer's disease,Maine,601
2017,Alzheimer's disease,Maryland,1191
2017,Alzheimer's disease,Massachusetts,1841
2017,Alzheimer's disease,Michigan,4428
2017,Alzheimer's disease,Minnesota,2474
2017,Alzheimer's disease,Mississippi,1626
2017,Alzheimer's disease,Missouri,2545
2017,Alzheimer's disease,Montana,285
2017,Alzheimer's disease,Nebraska,698
2017,Alzheimer's disease,Nevada,779
2017,Alzheimer's disease,New Hampshire,436
2017,Alzheimer's disease,New Jersey,2829
2017,Alzheimer's disease,New Mexico,572
2017,Alzheimer's disease,New York,3521
2017,Alzheimer's disease,North Carolina,4289
2017,Alzheimer's disease,North Dakota,387
2017,Alzheimer's disease,Ohio,5117
2017,Alzheimer's disease,Oklahoma,1752
2017,Alzheimer's disease,Oregon,1850
2017,Alzheimer's disease,Pennsylvania,4213
2017,Alzheimer's disease,Rhode Island,435
2017,Alzheimer's disease,South Carolina,2549
2017,Alzheimer's disease,South Dakota,444
2017,Alzheimer's disease,Tennessee,3522
2017,Alzheimer's disease,Texas,9545
2017,Alzheimer's disease,Utah,991
2017,Alzheimer's disease,Vermont,370
2017,Alzheimer's disease,Virginia,2549
2017,Alzheimer's disease,Washington,3710
2017,Alzheimer's disease,West Virginia,770
2017,Alzheimer's disease,Wisconsin,2428
2017,Alzheimer's disease,Wyoming,212
2017,Stroke,United States,146383
2017,Stroke,Alabama,2931
2017,Stroke,Alaska,190
2017,Stroke,Arizona,2681
2017,Stroke,Arkansas,1612
2017,Stroke,California,16355
2017,Stroke,Colorado,1988
2017,Stroke,Connecticut,1403
2017,Stroke,Delaware,571
2017,Stroke,District of Columbia,246
2017,Stroke,Florida,12602
2017,Stroke,Georgia,4399
2017,Stroke,Hawaii,764
2017,Stroke,Idaho,726
2017,Stroke,Illinois,6020
2017,Stroke,Indiana,3150
2017,Stroke,Iowa,1416
2017,Stroke,Kansas,1355
2017,Stroke,Kentucky,2050
2017,Stroke,Louisiana,2460
2017,Stroke,Maine,736
2017,Stroke,Maryland,2820
2017,Stroke,Massachusetts,2367
2017,Stroke,Michigan,5002
2017,Stroke,Minnesota,2250
2017,Stroke,Mississippi,1723
2017,Stroke,Missouri,3159
2017,Stroke,Montana,487
2017,Stroke,Nebraska,760
2017,Stroke,Nevada,1137
2017,Stroke,New Hampshire,514
2017,Stroke,New Jersey,3474
2017,Stroke,New Mexico,878
2017,Stroke,New York,6264
2017,Stroke,North Carolina,5098
2017,Stroke,North Dakota,337
2017,Stroke,Ohio,6425
2017,Stroke,Oklahoma,1947
2017,Stroke,Oregon,2066
2017,Stroke,Pennsylvania,6700
2017,Stroke,Rhode Island,425
2017,Stroke,South Carolina,2691
2017,Stroke,South Dakota,414
2017,Stroke,Tennessee,3519
2017,Stroke,Texas,10790
2017,Stroke,Utah,888
2017,Stroke,Vermont,249
2017,Stroke,Virginia,3555
2017,Stroke,Washington,3028
2017,Stroke,West Virginia,1058
2017,Stroke,Wisconsin,2513
2017,Stroke,Wyoming,190
2017,CLRD,United States,160201
2017,CLRD,Alabama,3484
2017,CLRD,Alaska,204
2017,CLRD,Arizona,3802
2017,CLRD,Arkansas,2517
2017,CLRD,California,13881
2017,CLRD,Colorado,2604
2017,CLRD,Connecticut,1471
2017,CLRD,Delaware,526
2017,CLRD,District of Columbia,137
2017,CLRD,Florida,12619
2017,CLRD,Georgia,4866
2017,CLRD,Hawaii,378
2017,CLRD,Idaho,925
2017,CLRD,Illinois,5732
2017,CLRD,Indiana,4375
2017,CLRD,Iowa,1939
2017,CLRD,Kansas,1832
2017,CLRD,Kentucky,3480
2017,CLRD,Louisiana,2467
2017,CLRD,Maine,982
2017,CLRD,Maryland,2079
2017,CLRD,Massachusetts,2842
2017,CLRD,Michigan,5688
2017,CLRD,Minnesota,2464
2017,CLRD,Mississippi,2037
2017,CLRD,Missouri,3940
2017,CLRD,Montana,752
2017,CLRD,Nebraska,1224
2017,CLRD,Nevada,1633
2017,CLRD,New Hampshire,755
2017,CLRD,New Jersey,3227
2017,CLRD,New Mexico,1143
2017,CLRD,New York,7258
2017,CLRD,North Carolina,5540
2017,CLRD,North Dakota,358
2017,CLRD,Ohio,7312
2017,CLRD,Oklahoma,3035
2017,CLRD,Oregon,2088
2017,CLRD,Pennsylvania,6667
2017,CLRD,Rhode Island,521
2017,CLRD,South Carolina,2983
2017,CLRD,South Dakota,505
2017,CLRD,Tennessee,4657
2017,CLRD,Texas,10650
2017,CLRD,Utah,826
2017,CLRD,Vermont,375
2017,CLRD,Virginia,3363
2017,CLRD,Washington,3177
2017,CLRD,West Virginia,1681
2017,CLRD,Wisconsin,2834
2017,CLRD,Wyoming,366
2017,Diabetes,United States,83564
2017,Diabetes,Alabama,1173
2017,Diabetes,Alaska,130
2017,Diabetes,Arizona,2054
2017,Diabetes,Arkansas,1180
2017,Diabetes,California,9595
2017,Diabetes,Colorado,1017
2017,Diabetes,Connecticut,694
2017,Diabetes,Delaware,244
2017,Diabetes,District of Columbia,138
2017,Diabetes,Florida,6172
2017,Diabetes,Georgia,2348
2017,Diabetes,Hawaii,299
2017,Diabetes,Idaho,394
2017,Diabetes,Illinois,2927
2017,Diabetes,Indiana,2096
2017,Diabetes,Iowa,918
2017,Diabetes,Kansas,874
2017,Diabetes,Kentucky,1474
2017,Diabetes,Louisiana,1272
2017,Diabetes,Maine,395
2017,Diabetes,Maryland,1439
2017,Diabetes,Massachusetts,1321
2017,Diabetes,Michigan,2798
2017,Diabetes,Minnesota,1312
2017,Diabetes,Mississippi,1164
2017,Diabetes,Missouri,1605
2017,Diabetes,Montana,292
2017,Diabetes,Nebraska,575
2017,Diabetes,Nevada,609
2017,Diabetes,New Hampshire,340
2017,Diabetes,New Jersey,1908
2017,Diabetes,New Mexico,673
2017,Diabetes,New York,4176
2017,Diabetes,North Carolina,2903
2017,Diabetes,North Dakota,194
2017,Diabetes,Ohio,3740
2017,Diabetes,Oklahoma,1398
2017,Diabetes,Oregon,1243
2017,Diabetes,Pennsylvania,3704
2017,Diabetes,Rhode Island,275
2017,Diabetes,South Carolina,1535
2017,Diabetes,South Dakota,263
2017,Diabetes,Tennessee,1915
2017,Diabetes,Texas,5832
2017,Diabetes,Utah,596
2017,Diabetes,Vermont,163
2017,Diabetes,Virginia,1967
2017,Diabetes,Washington,1812
2017,Diabetes,West Virginia,864
2017,Diabetes,Wisconsin,1433
2017,Diabetes,Wyoming,121
2017,Heart disease,United States,647457
2017,Heart disease,Alabama,13110
2017,Heart disease,Alaska,814
2017,Heart disease,Arizona,12398
2017,Heart disease,Arkansas,8270
2017,Heart disease,California,62797
2017,Heart disease,Colorado,7060
2017,Heart disease,Connecticut,7138
2017,Heart disease,Delaware,1990
2017,Heart disease,District of Columbia,1284
2017,Heart disease,Florida,46440
2017,Heart disease,Georgia,18389
2017,Heart disease,Hawaii,2575
2017,Heart disease,Idaho,3084
2017,Heart disease,Illinois,25394
2017,Heart disease,Indiana,14445
2017,Heart disease,Iowa,7180
2017,Heart disease,Kansas,5723
2017,Heart disease,Kentucky,10343
2017,Heart disease,Louisiana,11260
2017,Heart disease,Maine,2844
2017,Heart disease,Maryland,11653
2017,Heart disease,Massachusetts,12140
2017,Heart disease,Michigan,25187
2017,Heart disease,Minnesota,8230
2017,Heart disease,Mississippi,7944
2017,Heart disease,Missouri,14820
2017,Heart disease,Montana,2164
2017,Heart disease,Nebraska,3581
2017,Heart disease,Nevada,6417
2017,Heart disease,New Hampshire,2721
2017,Heart disease,New Jersey,18840
2017,Heart disease,New Mexico,3896
2017,Heart disease,New York,44092
2017,Heart disease,North Carolina,18808
2017,Heart disease,North Dakota,1326
2017,Heart disease,Ohio,28008
2017,Heart disease,Oklahoma,10772
2017,Heart disease,Oregon,6942
2017,Heart disease,Pennsylvania,32312
2017,Heart disease,Rhode Island,2339
2017,Heart disease,South Carolina,10418
2017,Heart disease,South Dakota,1710
2017,Heart disease,Tennessee,16019
2017,Heart disease,Texas,45346
2017,Heart disease,Utah,3749
2017,Heart disease,Vermont,1332
2017,Heart disease,Virginia,14861
2017,Heart disease,Washington,11582
2017,Heart disease,West Virginia,4849
2017,Heart disease,Wisconsin,11860
2017,Heart disease,Wyoming,1001
2017,Influenza and pneumonia,United States,55672
2017,Influenza and pneumonia,Alabama,1176
2017,Influenza and pneumonia,Alaska,66
2017,Influenza and pneumonia,Arizona,876
2017,Influenza and pneumonia,Arkansas,720
2017,Influenza and pneumonia,California,6340
2017,Influenza and pneumonia,Colorado,577
2017,Influenza and pneumonia,Connecticut,675
2017,Influenza and pneumonia,Delaware,184
2017,Influenza and pneumonia,District of Columbia,79
2017,Influenza and pneumonia,Florida,3057
2017,Influenza and pneumonia,Georgia,1400
2017,Influenza and pneumonia,Hawaii,637
2017,Influenza and pneumonia,Idaho,255
2017,Influenza and pneumonia,Illinois,2402
2017,Influenza and pneumonia,Indiana,1078
2017,Influenza and pneumonia,Iowa,578
2017,Influenza and pneumonia,Kansas,546
2017,Influenza and pneumonia,Kentucky,932
2017,Influenza and pneumonia,Louisiana,785
2017,Influenza and pneumonia,Maine,301
2017,Influenza and pneumonia,Maryland,990
2017,Influenza and pneumonia,Massachusetts,1433
2017,Influenza and pneumonia,Michigan,1798
2017,Influenza and pneumonia,Minnesota,697
2017,Influenza and pneumonia,Mississippi,782
2017,Influenza and pneumonia,Missouri,1281
2017,Influenza and pneumonia,Montana,185
2017,Influenza and pneumonia,Nebraska,393
2017,Influenza and pneumonia,Nevada,636
2017,Influenza and pneumonia,New Hampshire,230
2017,Influenza and pneumonia,New Jersey,1337
2017,Influenza and pneumonia,New Mexico,338
2017,Influenza and pneumonia,New York,4517
2017,Influenza and pneumonia,North Carolina,2076
2017,Influenza and pneumonia,North Dakota,147
2017,Influenza and pneumonia,Ohio,2243
2017,Influenza and pneumonia,Oklahoma,625
2017,Influenza and pneumonia,Oregon,573
2017,Influenza and pneumonia,Pennsylvania,2718
2017,Influenza and pneumonia,Rhode Island,206
2017,Influenza and pneumonia,South Carolina,723
2017,Influenza and pneumonia,South Dakota,217
2017,Influenza and pneumonia,Tennessee,1656
2017,Influenza and pneumonia,Texas,2954
2017,Influenza and pneumonia,Utah,334
2017,Influenza and pneumonia,Vermont,86
2017,Influenza and pneumonia,Virginia,1245
2017,Influenza and pneumonia,Washington,1041
2017,Influenza and pneumonia,West Virginia,458
2017,Influenza and pneumonia,Wisconsin,974
2017,Influenza and pneumonia,Wyoming,115
2017,Suicide,United States,47173
2017,Suicide,Alabama,836
2017,Suicide,Alaska,200
2017,Suicide,Arizona,1327
2017,Suicide,Arkansas,631
2017,Suicide,California,4312
2017,Suicide,Colorado,1181
2017,Suicide,Connecticut,405
2017,Suicide,Delaware,112
2017,Suicide,District of Columbia,47
2017,Suicide,Florida,3227
2017,Suicide,Georgia,1451
2017,Suicide,Hawaii,227
2017,Suicide,Idaho,392
2017,Suicide,Illinois,1474
2017,Suicide,Indiana,1092
2017,Suicide,Iowa,479
2017,Suicide,Kansas,553
2017,Suicide,Kentucky,770
2017,Suicide,Louisiana,720
2017,Suicide,Maine,274
2017,Suicide,Maryland,630
2017,Suicide,Massachusetts,682
2017,Suicide,Michigan,1457
2017,Suicide,Minnesota,783
2017,Suicide,Mississippi,445
2017,Suicide,Missouri,1151
2017,Suicide,Montana,311
2017,Suicide,Nebraska,275
2017,Suicide,Nevada,627
2017,Suicide,New Hampshire,265
2017,Suicide,New Jersey,795
2017,Suicide,New Mexico,491
2017,Suicide,New York,1696
2017,Suicide,North Carolina,1521
2017,Suicide,North Dakota,154
2017,Suicide,Ohio,1740
2017,Suicide,Oklahoma,756
2007,All causes,Pennsylvania,125104
2017,Suicide,Oregon,825
2017,Suicide,Pennsylvania,2030
2017,Suicide,Rhode Island,129
2017,Suicide,South Carolina,838
2017,Suicide,South Dakota,191
2017,Suicide,Tennessee,1166
2017,Suicide,Texas,3778
2017,Suicide,Utah,663
2017,Suicide,Vermont,112
2017,Suicide,Virginia,1179
2017,Suicide,Washington,1297
2017,Suicide,West Virginia,393
2017,Suicide,Wisconsin,926
2017,Suicide,Wyoming,157
2017,Cancer,United States,599108
2017,Cancer,Alabama,10410
2017,Cancer,Alaska,926
2017,Cancer,Arizona,12008
2017,Cancer,Arkansas,6517
2017,Cancer,California,59516
2017,Cancer,Colorado,7829
2017,Cancer,Connecticut,6608
2017,Cancer,Delaware,2085
2017,Cancer,District of Columbia,1031
2017,Cancer,Florida,45131
2017,Cancer,Georgia,17135
2017,Cancer,Hawaii,2456
2017,Cancer,Idaho,3020
2017,Cancer,Illinois,24150
2017,Cancer,Indiana,13462
2017,Cancer,Iowa,6449
2017,Cancer,Kansas,5494
2017,Cancer,Kentucky,10145
2017,Cancer,Louisiana,9513
2017,Cancer,Maine,3391
2017,Cancer,Maryland,10796
2017,Cancer,Massachusetts,12934
2017,Cancer,Michigan,20671
2017,Cancer,Minnesota,9896
2017,Cancer,Mississippi,6526
2017,Cancer,Missouri,12971
2017,Cancer,Montana,2145
2017,Cancer,Nebraska,3502
2017,Cancer,Nevada,5283
2017,Cancer,New Hampshire,2760
2017,Cancer,New Jersey,16264
2017,Cancer,New Mexico,3620
2017,Cancer,New York,34956
2017,Cancer,North Carolina,19474
2017,Cancer,North Dakota,1280
2017,Cancer,Ohio,25643
2017,Cancer,Oklahoma,8203
2017,Cancer,Oregon,8083
2017,Cancer,Pennsylvania,28387
2017,Cancer,Rhode Island,2154
2017,Cancer,South Carolina,10356
2017,Cancer,South Dakota,1715
2017,Cancer,Tennessee,14302
2017,Cancer,Texas,40668
2017,Cancer,Utah,3161
2017,Cancer,Vermont,1434
2017,Cancer,Virginia,15064
2017,Cancer,Washington,12664
2017,Cancer,West Virginia,4654
2017,Cancer,Wisconsin,11318
2017,Cancer,Wyoming,948
2017,Kidney disease,United States,50633
2017,Kidney disease,Alabama,980
2017,Kidney disease,Alaska,54
2017,Kidney disease,Arizona,540
2017,Kidney disease,Arkansas,725
2017,Kidney disease,California,3887
2017,Kidney disease,Colorado,503
2017,Kidney disease,Connecticut,554
2017,Kidney disease,Delaware,205
2017,Kidney disease,District of Columbia,67
2017,Kidney disease,Florida,3172
2017,Kidney disease,Georgia,1942
2017,Kidney disease,Hawaii,208
2017,Kidney disease,Idaho,170
2017,Kidney disease,Illinois,2565
2017,Kidney disease,Indiana,1440
2017,Kidney disease,Iowa,367
2017,Kidney disease,Kansas,541
2017,Kidney disease,Kentucky,1024
2017,Kidney disease,Louisiana,1076
2017,Kidney disease,Maine,260
2017,Kidney disease,Maryland,830
2017,Kidney disease,Massachusetts,1193
2017,Kidney disease,Michigan,1874
2017,Kidney disease,Minnesota,537
2017,Kidney disease,Mississippi,741
2017,Kidney disease,Missouri,1515
2017,Kidney disease,Montana,129
2017,Kidney disease,Nebraska,226
2017,Kidney disease,Nevada,299
2017,Kidney disease,New Hampshire,169
2017,Kidney disease,New Jersey,1591
2017,Kidney disease,New Mexico,330
2017,Kidney disease,New York,2296
2017,Kidney disease,North Carolina,2040
2017,Kidney disease,North Dakota,122
2017,Kidney disease,Ohio,2237
2017,Kidney disease,Oklahoma,461
2017,Kidney disease,Oregon,377
2017,Kidney disease,Pennsylvania,2898
2017,Kidney disease,Rhode Island,176
2017,Kidney disease,South Carolina,950
2017,Kidney disease,South Dakota,75
2017,Kidney disease,Tennessee,1140
2017,Kidney disease,Texas,4256
2017,Kidney disease,Utah,384
2017,Kidney disease,Vermont,29
2017,Kidney disease,Virginia,1618
2017,Kidney disease,Washington,439
2017,Kidney disease,West Virginia,436
2017,Kidney disease,Wisconsin,922
2017,Kidney disease,Wyoming,63
2016,Unintentional injuries,Alabama,2755
2016,Unintentional injuries,Alaska,439
2016,Unintentional injuries,Arizona,4010
2016,Unintentional injuries,Arkansas,1604
2016,Unintentional injuries,California,13213
2016,Unintentional injuries,Colorado,2880
2016,Unintentional injuries,Connecticut,1978
2016,Unintentional injuries,Delaware,516
2016,Unintentional injuries,District of Columbia,401
2016,Unintentional injuries,Florida,12561
2016,Unintentional injuries,Georgia,4701
2016,Unintentional injuries,Hawaii,577
2016,Unintentional injuries,Idaho,849
2016,Unintentional injuries,Illinois,5508
2016,Unintentional injuries,Indiana,3496
2016,Unintentional injuries,Iowa,1608
2016,Unintentional injuries,Kansas,1444
2016,Unintentional injuries,Kentucky,3194
2016,Unintentional injuries,Louisiana,2710
2016,Unintentional injuries,Maine,909
2016,Unintentional injuries,Maryland,2271
2016,Unintentional injuries,Massachusetts,3831
2016,Unintentional injuries,Michigan,5313
2016,Unintentional injuries,Minnesota,2697
2016,Unintentional injuries,Mississippi,1803
2016,Unintentional injuries,Missouri,3625
2016,Unintentional injuries,Montana,626
2016,Unintentional injuries,Nebraska,772
2016,Unintentional injuries,Nevada,1395
2016,Unintentional injuries,New Hampshire,924
2016,Unintentional injuries,New Jersey,3839
2016,Unintentional injuries,New Mexico,1487
2016,Unintentional injuries,New York,7354
2016,Unintentional injuries,North Carolina,5476
2016,Unintentional injuries,North Dakota,371
2016,Unintentional injuries,Ohio,7999
2016,Unintentional injuries,Oklahoma,2592
2016,Unintentional injuries,Oregon,2105
2016,Unintentional injuries,Pennsylvania,8410
2016,Unintentional injuries,Rhode Island,675
2016,Unintentional injuries,South Carolina,3012
2016,Unintentional injuries,South Dakota,505
2016,Unintentional injuries,Tennessee,4238
2016,Unintentional injuries,Texas,10536
2016,Unintentional injuries,Utah,1211
2016,Unintentional injuries,Vermont,372
2016,Unintentional injuries,Virginia,3710
2016,Unintentional injuries,Washington,3221
2016,Unintentional injuries,West Virginia,1705
2016,Unintentional injuries,Wisconsin,3575
2016,Unintentional injuries,Wyoming,371
2016,Unintentional injuries,United States,161374
2016,All causes,Alabama,52466
2016,All causes,Alaska,4494
2016,All causes,Arizona,56645
2016,All causes,Arkansas,31756
2016,All causes,California,262240
2016,All causes,Colorado,37530
2016,All causes,Connecticut,30543
2016,All causes,Delaware,8874
2016,All causes,District of Columbia,5037
2016,All causes,Florida,197313
2016,All causes,Georgia,81428
2016,All causes,Hawaii,10913
2016,All causes,Idaho,13366
2016,All causes,Illinois,107020
2016,All causes,Indiana,63473
2016,All causes,Iowa,29538
2016,All causes,Kansas,26245
2016,All causes,Kentucky,47827
2016,All causes,Louisiana,44306
2016,All causes,Maine,14182
2016,All causes,Maryland,48824
2016,All causes,Massachusetts,56961
2016,All causes,Michigan,96231
2016,All causes,Minnesota,43078
2016,All causes,Mississippi,31741
2016,All causes,Missouri,59873
2016,All causes,Montana,9905
2016,All causes,Nebraska,16217
2016,All causes,Nevada,23902
2016,All causes,New Hampshire,12203
2016,All causes,New Jersey,73155
2016,All causes,New Mexico,18365
2016,All causes,New York,154358
2016,All causes,North Carolina,90465
2016,All causes,North Dakota,6242
2016,All causes,Ohio,119572
2016,All causes,Oklahoma,39276
2016,All causes,Oregon,35778
2016,All causes,Pennsylvania,133040
2016,All causes,Rhode Island,9735
2016,All causes,South Carolina,48130
2016,All causes,South Dakota,7845
2016,All causes,Tennessee,67857
2016,All causes,Texas,191966
2016,All causes,United States,2744248
2016,All causes,Utah,17913
2016,All causes,Vermont,5909
2016,All causes,Virginia,66473
2016,All causes,Washington,54769
2016,All causes,West Virginia,22732
2016,All causes,Wisconsin,51815
2016,All causes,Wyoming,4722
2016,Alzheimer's disease,Alabama,2507
2016,Alzheimer's disease,Alaska,111
2016,Alzheimer's disease,Arizona,3082
2016,Alzheimer's disease,Arkansas,1475
2016,Alzheimer's disease,California,15570
2016,Alzheimer's disease,Colorado,1835
2016,Alzheimer's disease,Connecticut,1035
2016,Alzheimer's disease,Delaware,329
2016,Alzheimer's disease,District of Columbia,120
2016,Alzheimer's disease,Florida,7155
2016,Alzheimer's disease,Georgia,4021
2016,Alzheimer's disease,Hawaii,445
2016,Alzheimer's disease,Idaho,607
2016,Alzheimer's disease,Illinois,3877
2016,Alzheimer's disease,Indiana,2678
2016,Alzheimer's disease,Iowa,1415
2016,Alzheimer's disease,Kansas,855
2016,Alzheimer's disease,Kentucky,1728
2016,Alzheimer's disease,Louisiana,2195
2016,Alzheimer's disease,Maine,577
2016,Alzheimer's disease,Maryland,1178
2016,Alzheimer's disease,Massachusetts,1708
2016,Alzheimer's disease,Michigan,4249
2016,Alzheimer's disease,Minnesota,2219
2016,Alzheimer's disease,Mississippi,1485
2016,Alzheimer's disease,Missouri,2302
2016,Alzheimer's disease,Montana,314
2016,Alzheimer's disease,Nebraska,634
2016,Alzheimer's disease,Nevada,686
2016,Alzheimer's disease,New Hampshire,430
2016,Alzheimer's disease,New Jersey,2435
2016,Alzheimer's disease,New Mexico,583
2016,Alzheimer's disease,New York,3349
2016,Alzheimer's disease,North Carolina,4153
2016,Alzheimer's disease,North Dakota,361
2016,Alzheimer's disease,Ohio,5031
2016,Alzheimer's disease,Oklahoma,1590
2016,Alzheimer's disease,Oregon,1786
2016,Alzheimer's disease,Pennsylvania,4185
2016,Alzheimer's disease,Rhode Island,422
2016,Alzheimer's disease,South Carolina,2481
2016,Alzheimer's disease,South Dakota,449
2016,Alzheimer's disease,Tennessee,3250
2016,Alzheimer's disease,Texas,9135
2016,Alzheimer's disease,United States,116103
2016,Alzheimer's disease,Utah,904
2016,Alzheimer's disease,Vermont,310
2016,Alzheimer's disease,Virginia,2408
2016,Alzheimer's disease,Washington,3269
2016,Alzheimer's disease,West Virginia,786
2016,Alzheimer's disease,Wisconsin,2256
2016,Alzheimer's disease,Wyoming,138
2016,Stroke,Alabama,2967
2016,Stroke,Alaska,196
2016,Stroke,Arizona,2556
2016,Stroke,Arkansas,1643
2016,Stroke,California,15680
2016,Stroke,Colorado,1927
2016,Stroke,Connecticut,1269
2016,Stroke,Delaware,506
2016,Stroke,District of Columbia,252
2016,Stroke,Florida,11854
2016,Stroke,Georgia,4349
2016,Stroke,Hawaii,675
2016,Stroke,Idaho,682
2016,Stroke,Illinois,5658
2016,Stroke,Indiana,3040
2016,Stroke,Iowa,1388
2016,Stroke,Kansas,1363
2016,Stroke,Kentucky,2057
2016,Stroke,Louisiana,2322
2016,Stroke,Maine,663
2016,Stroke,Maryland,2709
2016,Stroke,Massachusetts,2468
2016,Stroke,Michigan,4874
2016,Stroke,Minnesota,2197
2016,Stroke,Mississippi,1705
2016,Stroke,Missouri,3069
2016,Stroke,Montana,440
2016,Stroke,Nebraska,787
2016,Stroke,Nevada,1096
2016,Stroke,New Hampshire,490
2016,Stroke,New Jersey,3401
2016,Stroke,New Mexico,885
2016,Stroke,New York,6258
2016,Stroke,North Carolina,4940
2016,Stroke,North Dakota,311
2016,Stroke,Ohio,5987
2016,Stroke,Oklahoma,1859
2016,Stroke,Oregon,1943
2016,Stroke,Pennsylvania,6730
2016,Stroke,Rhode Island,399
2016,Stroke,South Carolina,2627
2016,Stroke,South Dakota,420
2016,Stroke,Tennessee,3508
2016,Stroke,Texas,10673
2016,Stroke,United States,142142
2016,Stroke,Utah,932
2016,Stroke,Vermont,247
2016,Stroke,Virginia,3502
2016,Stroke,Washington,2910
2016,Stroke,West Virginia,1039
2016,Stroke,Wisconsin,2481
2016,Stroke,Wyoming,208
2016,CLRD,Alabama,3326
2016,CLRD,Alaska,238
2016,CLRD,Arizona,3800
2016,CLRD,Arkansas,2169
